,Length,R3,R2,R1
Seq001,33.0,0.19345450401306152,0.3774535655975342,0.4290919601917267
Seq002,28.0,0.23182852566242218,0.36677268147468567,0.40139883756637573
Seq003,37.0,0.19108310341835022,0.4052821099758148,0.4036347568035126
Seq004,25.0,0.27286720275878906,0.3543769121170044,0.37275588512420654
Seq005,46.0,0.14928458631038666,0.35028961300849915,0.5004258155822754
Seq006,47.0,0.24071601033210754,0.36531907320022583,0.3939649760723114
Seq007,20.0,0.3155471980571747,0.4313369393348694,0.2531159222126007
Seq008,26.0,0.18860900402069092,0.28178754448890686,0.5296034216880798
Seq009,23.0,0.3125612735748291,0.36153870820999146,0.32589995861053467
Seq010,29.0,0.24892492592334747,0.354871928691864,0.3962031900882721
Seq011,64.0,0.19690504670143127,0.4224735200405121,0.38062146306037903
Seq012,20.0,0.2699515223503113,0.3787047266960144,0.35134372115135193
Seq013,22.0,0.3245636224746704,0.36611485481262207,0.3093215823173523
Seq014,61.0,0.20306138694286346,0.38381221890449524,0.4131264090538025
Seq015,24.0,0.23931114375591278,0.3502720892429352,0.41041678190231323
Seq016,13.0,0.30628514289855957,0.3733082413673401,0.32040658593177795
Seq017,44.0,0.16872680187225342,0.39705267548561096,0.4342205226421356
Seq018,20.0,0.2057245969772339,0.4094190299510956,0.38485631346702576
Seq019,88.0,0.19375184178352356,0.2927500009536743,0.5134981870651245
Seq020,25.0,0.26284417510032654,0.3837374150753021,0.35341840982437134
Seq021,21.0,0.2569103240966797,0.4206199049949646,0.3224698007106781
Seq022,45.0,0.11186704784631729,0.36834725737571716,0.5197857618331909
Seq023,97.0,0.1328820139169693,0.3933042287826538,0.4738138020038605
Seq024,71.0,0.012338449247181416,0.3073013424873352,0.6803601980209351
Seq025,16.0,0.30624353885650635,0.37273359298706055,0.32102280855178833
Seq026,29.0,0.2563531696796417,0.384575217962265,0.3590715527534485
Seq027,96.0,0.25786635279655457,0.2751179039478302,0.46701574325561523
Seq028,38.0,0.2321721762418747,0.34271562099456787,0.42511218786239624
Seq029,18.0,0.22677186131477356,0.44075870513916016,0.3324693739414215
Seq030,37.0,0.26369112730026245,0.3511551320552826,0.38515377044677734
Seq031,17.0,0.27419447898864746,0.42920538783073425,0.2966001629829407
Seq032,28.0,0.32569941878318787,0.3418422341346741,0.33245834708213806
Seq033,50.0,0.07158255577087402,0.50748610496521,0.4209313988685608
Seq034,18.0,0.20545929670333862,0.41356003284454346,0.38098061084747314
Seq035,93.0,0.06959647685289383,0.3146868646144867,0.6157165765762329
Seq036,19.0,0.32786470651626587,0.3416483700275421,0.330486923456192
Seq037,33.0,0.21557724475860596,0.3511856198310852,0.4332370460033417
Seq038,24.0,0.25651049613952637,0.3420902490615845,0.40139931440353394
Seq039,14.0,0.27726539969444275,0.35335174202919006,0.3693828582763672
Seq040,20.0,0.1899702250957489,0.4764387309551239,0.3335910737514496
Seq041,17.0,0.29758697748184204,0.3442815840244293,0.35813143849372864
Seq042,33.0,0.2403295636177063,0.36981692910194397,0.38985350728034973
Seq043,14.0,0.32539689540863037,0.37994059920310974,0.29466256499290466
Seq044,13.0,0.3945196866989136,0.375210702419281,0.2302696704864502
Seq045,28.0,0.2590370774269104,0.3482145369052887,0.3927483856678009
Seq046,40.0,0.2082718461751938,0.4394044876098633,0.35232362151145935
Seq047,41.0,0.2919284701347351,0.2971147298812866,0.41095688939094543
Seq048,43.0,0.27530843019485474,0.34606295824050903,0.37862858176231384
Seq049,24.0,0.2630923390388489,0.34149396419525146,0.39541372656822205
Seq050,102.0,0.16818134486675262,0.35521337389945984,0.47660529613494873
Seq051,27.0,0.2796754837036133,0.4369032084941864,0.2834213376045227
Seq052,15.0,0.3272015452384949,0.47583168745040894,0.1969667673110962
Seq053,82.0,0.14121462404727936,0.36869895458221436,0.49008646607398987
Seq054,23.0,0.3589187562465668,0.3056037425994873,0.3354775011539459
Seq055,17.0,0.2581719756126404,0.4086346924304962,0.3331933915615082
Seq056,77.0,0.0439932756125927,0.4695690870285034,0.4864376187324524
Seq057,28.0,0.23348675668239594,0.35147687792778015,0.4150364100933075
Seq058,26.0,0.297373503446579,0.33862805366516113,0.3639984130859375
Seq059,25.0,0.25535908341407776,0.4131987392902374,0.3314421772956848
Seq060,30.0,0.27805545926094055,0.4105447828769684,0.31139975786209106
Seq061,21.0,0.2853580415248871,0.41552141308784485,0.2991204857826233
Seq062,33.0,0.3474743366241455,0.36339765787124634,0.28912806510925293
Seq063,47.0,0.11757364869117737,0.27224552631378174,0.6101808547973633
Seq064,24.0,0.26111307740211487,0.3600653111934662,0.37882164120674133
Seq065,25.0,0.25737181305885315,0.3605404198169708,0.382087767124176
Seq066,12.0,0.2813912332057953,0.4236685335636139,0.29494020342826843
Seq067,63.0,0.14023181796073914,0.40519142150878906,0.4545767903327942
Seq068,107.0,0.13227450847625732,0.3389902114868164,0.528735339641571
Seq069,32.0,0.20206700265407562,0.38739025592803955,0.41054272651672363
Seq070,37.0,0.21211718022823334,0.3694154620170593,0.4184674322605133
Seq071,18.0,0.2942452132701874,0.36721503734588623,0.3385397791862488
Seq072,25.0,0.33932045102119446,0.35942521691322327,0.3012542724609375
Seq073,20.0,0.24271711707115173,0.44201144576072693,0.31527143716812134
Seq074,24.0,0.21712146699428558,0.37717774510383606,0.4057007431983948
Seq075,29.0,0.31918221712112427,0.37993162870407104,0.3008861243724823
Seq076,27.0,0.23531986773014069,0.41183289885520935,0.352847158908844
Seq077,25.0,0.2761281132698059,0.37906813621520996,0.34480375051498413
Seq078,15.0,0.2804586589336395,0.3896142244338989,0.32992711663246155
Seq079,21.0,0.18283653259277344,0.40019622445106506,0.4169672429561615
Seq080,13.0,0.37851250171661377,0.36841192841529846,0.253075510263443
Seq081,38.0,0.24237342178821564,0.37169551849365234,0.3859310448169708
Seq082,24.0,0.24525803327560425,0.34679391980171204,0.40794795751571655
Seq083,32.0,0.21986687183380127,0.37018638849258423,0.4099467694759369
Seq084,47.0,0.3201441168785095,0.3535184860229492,0.3263374865055084
Seq085,30.0,0.26506391167640686,0.38383352756500244,0.3511025011539459
Seq086,106.0,0.21459762752056122,0.34347471594810486,0.44192761182785034
Seq087,53.0,0.26686516404151917,0.3552640676498413,0.3778707683086395
Seq088,19.0,0.2869691848754883,0.43331843614578247,0.279712438583374
Seq089,69.0,0.212712824344635,0.3569142520427704,0.4303728938102722
Seq090,22.0,0.2718225121498108,0.42368167638778687,0.30449584126472473
Seq091,24.0,0.26385366916656494,0.3692612051963806,0.36688509583473206
Seq092,44.0,0.3879680931568146,0.2043876349925995,0.40764421224594116
Seq093,23.0,0.24237047135829926,0.38491466641426086,0.3727148473262787
Seq094,13.0,0.266270250082016,0.4329792857170105,0.3007504642009735
Seq095,21.0,0.23344510793685913,0.3652305006980896,0.4013243615627289
Seq096,13.0,0.304170161485672,0.3514338433742523,0.3443959653377533
Seq097,37.0,0.18744690716266632,0.3452219069004059,0.467331200838089
Seq098,29.0,0.21618933975696564,0.39918768405914307,0.3846230208873749
Seq099,34.0,0.010897553525865078,0.23735368251800537,0.7517487406730652
Seq100,30.0,0.2858077585697174,0.38546857237815857,0.32872363924980164
Seq101,13.0,0.28708094358444214,0.3720007538795471,0.34091827273368835
Seq102,21.0,0.3143683671951294,0.4605039358139038,0.22512760758399963
Seq103,58.0,0.16801418364048004,0.44158199429512024,0.3904038369655609
Seq104,17.0,0.6901640892028809,0.12257278710603714,0.18726308643817902
Seq105,38.0,0.2926075756549835,0.471839964389801,0.23555243015289307
Seq106,117.0,0.054746922105550766,0.3844500184059143,0.5608030557632446
Seq107,12.0,0.2963983416557312,0.3931806683540344,0.3104209899902344
Seq108,31.0,0.2700273096561432,0.37231743335723877,0.3576553165912628
Seq109,25.0,0.19944168627262115,0.39284977316856384,0.40770861506462097
Seq110,24.0,0.32012686133384705,0.38256415724754333,0.2973090708255768
Seq111,18.0,0.2974729835987091,0.39196348190307617,0.31056350469589233
Seq112,21.0,0.2193024456501007,0.39635196328163147,0.38434556126594543
Seq113,12.0,0.1939394176006317,0.39801716804504395,0.40804338455200195
Seq114,55.0,0.2642797529697418,0.2810710668563843,0.4546491503715515
Seq115,37.0,0.2997015118598938,0.3238583505153656,0.3764401078224182
Seq116,22.0,0.22796207666397095,0.3705575168132782,0.40148037672042847
Seq117,27.0,0.22417834401130676,0.3697719871997833,0.4060496389865875
Seq118,40.0,0.01166462805122137,0.10836256295442581,0.8799727559089661
Seq119,26.0,0.2003733366727829,0.386887788772583,0.4127388298511505
Seq120,32.0,0.26097673177719116,0.404708594083786,0.3343146741390228
Seq121,37.0,0.19860012829303741,0.3606105446815491,0.4407893419265747
Seq122,13.0,0.3016534447669983,0.4648083746433258,0.2335381656885147
Seq123,29.0,0.26834043860435486,0.3918682038784027,0.3397914469242096
Seq124,66.0,0.23660634458065033,0.3642696440219879,0.39912399649620056
Seq125,14.0,0.325215220451355,0.3731965720653534,0.3015882074832916
Seq126,39.0,0.09908546507358551,0.3361656367778778,0.5647488832473755
Seq127,88.0,0.00621551088988781,0.3164680600166321,0.677316427230835
Seq128,21.0,0.24729768931865692,0.3744949400424957,0.37820738554000854
Seq129,20.0,0.2075645476579666,0.36798521876335144,0.42445024847984314
