,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
Seq001,0.0013405075,0.0008458048,0.00045448734,0.0002170144,0.00010575721,6.081048e-05,4.2876443e-05,3.518065e-05,3.1569853e-05,2.9739267e-05,2.8753971e-05,2.8198356e-05,2.7872922e-05,2.7675958e-05,2.7553288e-05,2.7474938e-05,2.7423785e-05,2.7389753e-05,2.7366726e-05,2.7350863e-05,2.7339858e-05,2.7332087e-05,2.7326561e-05,2.7322576e-05,2.7319684e-05,2.7317572e-05,2.7315984e-05,2.7314813e-05,2.7313927e-05,2.7313223e-05,2.73127e-05,7.084761e-05,0.00040270318,0.005166917,0.03402743,0.031509995,0.11102674,0.19680336,0.2946029,0.32264775
Seq002,0.002076567,0.0013102278,0.0007040418,0.00033617485,0.00016382744,9.4200914e-05,6.641947e-05,5.4497992e-05,4.8904545e-05,4.6068802e-05,4.4542492e-05,4.3681837e-05,4.3177664e-05,4.287255e-05,4.2682525e-05,4.256119e-05,4.2481955e-05,4.2429197e-05,4.2393483e-05,4.236899e-05,4.235186e-05,4.2339907e-05,4.233131e-05,4.2325133e-05,4.232065e-05,4.2317384e-05,4.231496e-05,4.2313102e-05,4.231173e-05,4.2310683e-05,4.2309835e-05,4.230923e-05,6.246831e-05,0.0017402126,0.006508314,0.09878195,0.08578795,0.17920522,0.3564161,0.2656598
Seq003,0.0007405058,0.0004672285,0.000251062,0.00011988029,5.842103e-05,3.359214e-05,2.3685248e-05,1.9434037e-05,1.7439408e-05,1.6428181e-05,1.5883898e-05,1.5576972e-05,1.5397198e-05,1.5288395e-05,1.522063e-05,1.5177348e-05,1.5149093e-05,1.5130294e-05,1.5117573e-05,1.5108809e-05,1.510273e-05,1.5098439e-05,1.5095386e-05,1.5093184e-05,1.5091586e-05,1.5090421e-05,1.5089543e-05,1.50888945e-05,1.5088406e-05,1.5088017e-05,1.50877295e-05,0.0008227497,0.013987316,0.10645112,0.18758613,0.3010029,0.08639724,0.11422858,0.104143076,0.0833143
Seq004,0.0019873108,0.0012539108,0.0006737799,0.00032172503,0.00015678573,9.015187e-05,6.356456e-05,5.2155552e-05,4.6802525e-05,4.408867e-05,4.2627922e-05,4.1804262e-05,4.1321757e-05,4.102976e-05,4.0847903e-05,4.0731782e-05,4.0655952e-05,4.0605464e-05,4.057132e-05,4.0547842e-05,4.0531493e-05,4.052001e-05,4.0511783e-05,4.0505907e-05,4.050158e-05,4.0498493e-05,4.0496136e-05,4.0494397e-05,4.0493083e-05,4.0492043e-05,4.049123e-05,4.0490693e-05,4.0490228e-05,0.00021748804,0.0041471524,0.09712685,0.10103097,0.20888643,0.31661654,0.26634708
Seq005,0.001639244,0.0010342951,0.000555771,0.00026537664,0.00012932555,7.436226e-05,5.2431573e-05,4.3020787e-05,3.8605314e-05,3.6366775e-05,3.5161873e-05,3.448247e-05,3.4084478e-05,3.384362e-05,3.3693614e-05,3.359783e-05,3.353528e-05,3.3493638e-05,3.3465472e-05,3.3446107e-05,3.3432618e-05,3.342315e-05,3.341636e-05,3.3411518e-05,3.340795e-05,3.3405402e-05,3.340346e-05,3.3402022e-05,3.3400942e-05,0.003012802,0.0044112243,0.027189506,0.0037831736,0.016662816,0.098111965,0.19697145,0.09587482,0.16711801,0.16129375,0.22106214
Seq006,0.0010471842,0.00066072994,0.00035503862,0.00016952839,8.261594e-05,4.750423e-05,3.349443e-05,2.748259e-05,2.4661893e-05,2.3231865e-05,2.2462169e-05,2.2028153e-05,2.1773905e-05,2.162004e-05,2.1524213e-05,2.1463025e-05,2.1423068e-05,2.1396463e-05,2.1378453e-05,2.13661e-05,2.1357464e-05,2.1351434e-05,2.13471e-05,2.1343985e-05,2.1341726e-05,2.1340078e-05,2.1338856e-05,2.1337919e-05,2.1337228e-05,0.0005205255,0.003202042,0.017756928,0.054098453,0.10667781,0.07458808,0.13700955,0.15747347,0.15102574,0.13880898,0.15595844
Seq007,0.0011792735,0.0007440727,0.00039982234,0.00019091227,9.30369e-05,5.3496296e-05,3.7719332e-05,3.0949177e-05,2.777268e-05,2.6162277e-05,2.529549e-05,2.4806728e-05,2.452041e-05,2.4347139e-05,2.4239223e-05,2.4170318e-05,2.412532e-05,2.4095361e-05,2.4075078e-05,2.4061168e-05,2.4051442e-05,2.4044652e-05,2.4039768e-05,2.403626e-05,2.4033716e-05,2.403186e-05,2.4030485e-05,2.4029432e-05,2.4028652e-05,2.4028055e-05,2.4027575e-05,2.4027231e-05,2.4026956e-05,2.4026727e-05,0.00010075241,0.00062314916,0.0051359287,0.019804282,0.069165014,0.9018075
Seq008,0.005118076,0.0032292942,0.0017352381,0.0008285636,0.0004037825,0.00023217515,0.00016370277,0.00013432027,0.00012053419,0.000113544986,0.00010978302,0.00010766178,0.00010641915,0.000105667146,0.000105198786,0.000104899744,0.00010470445,0.000104574414,0.0001044865,0.00010442603,0.00010438391,0.000104354345,0.00010433315,0.000104318024,0.00010430689,0.00010429893,0.00010429286,0.00010428839,0.000104285005,0.00010428232,0.000104280225,0.000104278835,0.00010427765,0.0011694296,0.011062399,0.01958854,0.030237589,0.11761576,0.33630446,0.4695288
Seq009,0.0030249332,0.0019086075,0.0010255765,0.00048970536,0.00023864729,0.00013722232,9.675313e-05,7.938721e-05,7.1239236e-05,6.710841e-05,6.4884975e-05,6.363126e-05,6.2896834e-05,6.2452375e-05,6.217556e-05,6.199882e-05,6.1883395e-05,6.1806546e-05,6.175458e-05,6.171884e-05,6.169394e-05,6.1676474e-05,6.1663945e-05,6.165501e-05,6.1648425e-05,6.164372e-05,6.164014e-05,6.163749e-05,6.163549e-05,6.16339e-05,6.1632665e-05,6.163185e-05,6.163114e-05,8.731212e-05,0.0023314226,0.04019874,0.22223659,0.27041405,0.29828525,0.15788083
Seq010,0.0019323487,0.0012192321,0.00065514556,0.00031282724,0.00015244959,8.7658584e-05,6.180659e-05,5.0713115e-05,4.5508128e-05,4.2869327e-05,4.1448984e-05,4.06481e-05,4.0178944e-05,3.989502e-05,3.971819e-05,3.9605286e-05,3.953155e-05,3.9482456e-05,3.944926e-05,3.942643e-05,3.941053e-05,3.939937e-05,3.939137e-05,3.9385657e-05,3.9381448e-05,3.9378447e-05,3.9376155e-05,3.9374467e-05,3.9373186e-05,3.9372175e-05,3.937139e-05,3.937086e-05,0.00016671412,0.008775349,0.030574242,0.07981075,0.21922489,0.1269334,0.24995998,0.27912214
Seq011,0.0004120985,0.00026001708,0.00013971832,6.6714485e-05,3.2511874e-05,1.8694334e-05,1.3181059e-05,1.0815222e-05,9.7051925e-06,9.142434e-06,8.839544e-06,8.668737e-06,8.568691e-06,8.50814e-06,8.47043e-06,8.446343e-06,8.430618e-06,8.420156e-06,8.413069e-06,8.4082e-06,8.404809e-06,8.402428e-06,8.40073e-06,8.399496e-06,8.398615e-06,0.000591313,0.006839346,0.018221011,0.068747774,0.02155186,0.093712226,0.07212408,0.18213211,0.09316946,0.09029776,0.10585121,0.08711767,0.052270178,0.037618972,0.06865529
Seq012,0.006086175,0.0038401247,0.0020634632,0.0009852888,0.00048015887,0.0002760917,0.00019466762,0.00015972718,0.00014333343,0.00013502222,0.00013054878,0.0001280263,0.00012654864,0.00012565438,0.00012509743,0.00012474183,0.00012450958,0.00012435496,0.00012425041,0.0001241785,0.00012412842,0.00012409326,0.00012406806,0.00012404996,0.00012403681,0.00012402724,0.00012402014,0.00012401471,0.00012401068,0.00012400761,0.00012400514,0.00012400348,0.00012400193,0.00012400076,0.0015353431,0.010557269,0.0875286,0.18337694,0.29841834,0.4012251
Seq013,0.0040000584,0.0025238711,0.001356184,0.000647568,0.00031557822,0.00018145765,0.00012794272,0.00010497858,9.420401e-05,8.874157e-05,8.580155e-05,8.41436e-05,8.31725e-05,8.258476e-05,8.221872e-05,8.1984916e-05,8.183228e-05,8.173074e-05,8.166194e-05,8.1614686e-05,8.158177e-05,8.155867e-05,8.154218e-05,8.15302e-05,8.152165e-05,8.1515274e-05,8.151061e-05,8.150703e-05,8.15044e-05,8.150237e-05,8.150082e-05,8.149965e-05,8.149864e-05,8.149786e-05,0.0065336097,0.019543836,0.08857226,0.22290969,0.1858901,0.46514183
